Text,Label
ငါတို့တပ်ရဲ့တပ်တည်နေရာကိုပြပါ,တပ်တည်
တပ်တည်ရှာပေးပါ,တပ်တည်
တပ်တည်နေရာသိလို့ရမလား,တပ်တည်
တပ်မတော်မှာတပ်တည်တွေကလုံးဝထိပ်တန်းလျှို့ဝှက်ပဲ,တပ်တည်
တပ်ရင်းမှူးတွေပြ,တပ်ရင်းမှူး
တပ်ရင်းမှူးနာမည်တွေသိချင်တယ်,တပ်ရင်းမှူး
တပ်ရင်းမှူးကဘယ်သူလဲ,တပ်ရင်းမှူး
တပ်ရင်းမှူးတွေရဲ့အကြောင်းကိုသိချင်တယ်,တပ်ရင်းမှူး
ဖွဲ့စည်းပုံကိုပြပါ,ဖွဲ့စည်းပုံ
တပ်ရင်းတွေရဲ့ဖွဲ့စည်းပုံကိုပြပါ,ဖွဲ့စည်းပုံ
ဖွဲ့စည်းပုံဘယ်လောက်ရှိလဲလဲ,ဖွဲ့စည်းပုံ
တပ်မှာအင်အားဘယ်လောက်ရှိလဲ,ဖွဲ့စည်းပုံ
အင်အားတွေဘယ်လောက်နဲ့ဖွဲ့စည်းထားလဲ,ဖွဲ့စည်းပုံ
တပ်ရဲ့အင်အားကိုဘယ်လောက်ထိဖွဲ့ထားလဲ,ဖွဲ့စည်းပုံ
ငါတို့ရဲ့အင်အားပြပါ,ဖွဲ့စည်းပုံ
မြေပုံညွန်းသိချင်တယ်,တပ်တည်
ငါတို့လက်ရှိမြေပုံညွန်းဘယ်မှာလဲ,တပ်တည်
မြေပုံညွန်းတိတိကျကျထုတ်ပေးပါ,တပ်တည်
ငါတို့နေရာဘယ်မှာလဲ,တပ်တည်
တပ်မမှူးကိုသိချင်တယ်,တပ်မမှူး
တပ်မမှူးနာမည်ကဘာလဲ,တပ်မမှူး
တပ်မမှူးကဘဘ်သူလဲ,တပ်မမှူး
တပ်မမှူးကဘယ်သူလဲ,တပ်မမှူး
တပ်မမှူးကိုပြောပြပါ,တပ်မမှူး
တပ်မမှူးကိုသိလို့ရမလား,တပ်မမှူး
တပ်မမှူးကိုသိချင်တယ်,တပ်မမှူး
တပ်မမှူးရဲ့ရာထူးကိုပြောပြ,တပ်မမှူး
