Text,Label
ရှာ,search
ရှာပေး,search
ရှာလိုက်,search
ရှာလိုက်ဦး,search
ရှာလိုက်ပါဦး,search
ရှာပေးဦး,search
ရှာပေးကွာ,search
ရှာပေးနိုင်မလား,search
ရှာပေးပါ,search
ပြပေးပါ,search
ပြပေး,search
ပြပါ,search
ပြကွာ,search
ပြ,search
သိချင်,search
သွားပါ,go
သွားပေးပါ,go
သွား,go
ကိုသွား,go
ကိုသွားပေးပါ,go
ကိုတစ်ချက်သွားပေးပါ,go
သွားချင်တယ်,go
သွားချင်,go
သွားကွာ,go
သွားလိုက်,go
သွားလိုက်ပါ,go
သွားလိုက်ဦး,go
သွားလိုက်ဦးကွာ,go
သွားလိုက်စမ်း,go
သွားလိုက်စမ်းကွာ,go
ရေးပေးပါ,write
ရေးချင်တယ်,write
ရေးပေး,write
ရေးပေးကွာ,write
ရေးပါ,write
ရေးကွာ,write
ရေးပေးစမ်းပါ,write
ရေးပေးစေချင်တယ်,write
ရေးစေချင်တယ်,write
ရေးချင်တယ်,write
ရေးပေးမလား,write
ရေးစေချင်မိတယ်,write
ရေးပေးပါဦး,write
ရေးချင်,write
ရေးကွာ,write
အကွာအဝေး,calculate
အကွာအဝေးတိုင်း,calculate
အကွာအဝေးတိုင်းပါ,calculate
အကွာအဝေးတိုင်းပါဦး,calculate
အကွာအဝေးတိုင်းစမ်းပါ,calculate
အကွာအဝေးတိုင်းပေး,calculate
အကွာအဝေးတိုင်းပေးပါ,calculate
အကွာအဝေးတိုင်းပေးပါဦး,calculate
တိုင်း,calculate
တိုင်းပေး,calculate
တိုင်းလိုက်,calculate
တိုင်းလိုက်ဦး,calculate
တိုင်းလိုက်ပါဦး,calculate
တိုင်းလိုက်စမ်း,calculate
တိုင်းပေးဦး,calculate
